,premise,hypothesis,label,explanation,language
1075,Ein frisch verheiratetes Paar lacht und redet miteinander.,Das Paar hat gerade geheiratet.,entailment,"""Geheiratet"" ist eine Neuvermählte.",german
1076,"Ein Mann in reflektierender Sonnenbrille, ein Totenschädel-T-Shirt und lange rote Shorts sitzen in einem Klappsessel aus der Sonne.",Der Mann schützt seine Augen mit Sonnenbrille.,entailment,Eine reflektierende Sonnenbrille schützt die Augen.,german
1077,"Ein Mädchen mit einer Verbeugung, das einen nassen Schwamm wirft.",Das Mädchen wirft etwas.,entailment,Ein nasser Schwamm ist etwas zu werfen.,german
1078,Ein Mann in einem schwarzen Tank Top mit einem roten Plaid Hut,Ein Mann mit Hut.,entailment,Ein Mann in einem Hut ist ein Mann in einem Hut.,german
1079,"Junge, der durch ein Glasfenster an einem Bahnhof schaut.",Ein Junge schaut durch ein Fenster auf einen anderen Jungen am Bahnhof.,neutral,"Der Junge könnte durch ein Fenster auf ein anderes Mädchen schauen, nicht unbedingt ein Junge.",german
1080,An einem hellen und sonny Tag scheint sich ein Mann mit blauen Koffern und weißem und blauem Hemd auf eine Kanufahrt vorzubereiten,"Ein Mann ist drinnen und beobachtet jemanden, der im Fernsehen Kanu fährt.",contradiction,Der Mann kann nicht gleichzeitig drinnen sein und sich auf eine Kanufahrt vorbereiten,german
1081,Eine Gruppe junger Cheerleader in rosa-weißen Kostümen tritt auf einer Bühne auf.,Cheerleader treten auf.,entailment,Cheerleader auftreten ist eine Neuformulierung der Cheerleader auftreten.,german
1082,"Ein kleiner Junge, der einen Spatel benutzt, um Fleisch auf einem Grill zu behandeln.",Ein junger Junge grillt Steak.,neutral,Fleisch ist nicht unbedingt ein Steak.,german
1083,Ein Baby mit grünem Boden und rotem Oberteil im Bett liegend mit einer braun-weißen Katze und auch einer schwarz-weißen Katze.,Das Baby sitzt auf den Katzen.,contradiction,Man kann nicht gleichzeitig im Bett liegen und sitzen.,german
1084,Ein Mann isst neben einem Kind auf einer Bank.,Der Mann isst auf einer Bank in der Nähe eines Kindes.,entailment,"Ein Mann, der neben einem Kind ist, ist in der Nähe des Kindes.",german
1085,"Ein Junge schießt, während sein Team ängstlich zusieht.",Ein Junge spielt ein Spiel.,entailment,"Eine Spritze impliziert, ein Spiel zu spielen.",german
1086,Ein junger Mann in einem grauen Hemd schwebt über seiner Bierflasche und Guinness Glas zieht grüne Dinge aus seinem Bart.,"Der Mann, der Bier und Bierglas hält, schafft es, die grünen Stücke aus seinem Bart zu ziehen.",entailment,Der Mensch zieht Stücke aus seinem grünen Bart.,german
1087,"Eine Frau in einer blauen Jacke, die ein Kind auf einem Schlitten durch den Schnee zieht.",Es ist ein Kind auf einem Schlitten.,entailment,"Ein Kind auf einem Schlitten zu schleppen bedeutet, dass es ein Kind auf einem Schlitten gibt.",german
1088,Eine Gruppe von Athletinnen ist zusammengeknüppelt und aufgeregt.,"Sie sind zusammengehangen, weil sie zusammenarbeiten.",neutral,"Eine Gruppe, die sich zusammenschmiegt, wird nicht davon ausgegangen, dass sie dies tut, weil sie zusammenarbeiten.",german
1089,"Gruppe von Menschen, darunter ein Mann und eine Frau, die Instrumente auf einem Doppeldecker roten Planet Hollywood Sightseeing-Bus spielen.",Fünf Leute sprangen über die Brücke.,contradiction,Die Menschen können entweder Instrumente spielen oder von einer Brücke springen.,german
1090,"Zwei Hunde, der graue Pudel hoch in der Luft, spielen auf dem Gras.",Die Tiere spielen Fang.,neutral,"Es gibt andere Gründe für einen Hund in die Luft zu springen, außer zu spielen Fang.",german
1091,"Zwei Frauen, die eine Ballerina tragen, unterhalten sich miteinander.",Zwei Frauen reden.,entailment,Reden ist eine Neuformulierung des Gesprächs.,german
1092,Mahlen und lachen Baby in einem Walker mit Feuermaschine Flugzeug mobile und andere Spielzeuge auf dem Boden,"Ein Mann, der mit einem Flugzeug spielt.",contradiction,Es gibt entweder einen Mann oder ein Baby.,german
1093,"Zwei braune und weiße Hunde laufen auf einem grasbewachsenen, aber braunen eingezäunten Hof.",Die Hunde durchqueren eine versiegelte Weite.,entailment,Hunde sind Eckzähne und versiegelte Kosten ist ein eingezäunter Hof.,german
1094,"Ein Mann auf einem Fahrrad, mit der Sonne unten im Hintergrund schlagen, gerade gestartet von einem Schmutz Rampe und kommt wieder nach unten.","Radfahrer, die in der Tour de France antreten.",contradiction,Die Tour de France hat keine Schmutzrampen.,german
1095,Eine Gruppe von Menschen vor einigen bräunlichen Zelten der amerikanischen Parkinsons Krankheit Vereinigung.,Superman allein heilt die Krankheit,contradiction,Eine Gruppe von Menschen kann nicht auch Superman sein,german
1096,"Ein Mann, der nur einen Hut, Stiefel und Unterwäsche trägt, läuft den Bürgersteig mit einer Gitarre um die Schulter.","Ein Mann, der nur einen Hut, Stiefel und Unterwäsche trägt, läuft nachts auf dem Bürgersteig.",neutral,Die Leute laufen nicht unbedingt nachts.,german
1097,Eine Frau schwingt auf einem Seil mit Blick auf ein rotes Bauernhaus und bewachte Weiden und hohe Bäume.,die Frau hängt mit ihren Kindern ab,contradiction,"Wenn die Frau an einem Seil schwingt, ist sie die einzige, die darauf sitzt, anstatt mit ihren Kindern rumzuhängen.",german
1098,Arbeiter mit orangen Westen stehen in der Nähe von Gleisen.,Die Arbeiter stehen draußen.,entailment,"Arbeiter, die in der Nähe von Gleisen arbeiten, arbeiten draußen.",german
1099,Mehrere Fahrradfahrer tragen ihre Fahrräder auf einem grasbewachsenen Hügel.,"Leute, die Fahrräder tragen.",entailment,Fahrradfahrer sind Menschen.,german
1100,"Menschen Kleider in Geschäftskleidung gehen vorbei, während ein Mann mit einer Krawatte auf steht still und spricht auf seinem Handy.",Die Leute sind in Straßenkleidung gekleidet.,contradiction,Geschäfts- und Straßenkleidung sind verschiedene Kleidungen.,german
1101,"Ein weißer Mann in einem roten Hemd, der Fahrrad fährt.",Ein Typ trägt ein Shirt auf dem Fahrrad.,entailment,Ein weißer Mann ist ein Kerl.,german
1102,Ein Kind spielt mit den Stiefeln ihres Vaters.,"Ein Kind spielt mit den Stiefeln ihres Vaters, während er auf der Arbeit ist.",neutral,"Es ist schwer für ein Kind, mit den Stiefeln ihres Vaters zu spielen, während er bei der Arbeit ist, da in der Regel Kinder in der Schule während der Zeit arbeiten die meisten Eltern. Sie könnten jederzeit mit seinen Stiefeln spielen.",german
1103,Eine Dame fördert den anderen beiden Mädchen etwas.,Eine Frau verkauft Schmuck an zwei Mädchen.,neutral,"Die Förderung von etwas könnte eine Idee oder eine Aktion fördern. Die Förderung muss kein Produkt verkaufen. Und wenn die Dame etwas verkaufte, muss sie sich nicht auf Schmuck beschränken.",german
1104,"Ein Skateboarder macht sich bereit, auf einer Half-Rube-Rink, wo es Bäume im Hintergrund.","Zwei Pferdejagd nach einem Mann, der eine Karotte hält.",contradiction,Das Thema ist entweder ein Skateboarder oder zwei Pferde und kann nicht beides zur gleichen Zeit. Das Thema ist entweder auf einer Half-Rube-Eisenbahn oder Jagd nach einem Mann und kann nicht beides tun.,german
1105,"Bauarbeiter benutzen Kabel, um von den Seiten der Gebäude zu hängen.",Bauarbeiter machen Reparaturen.,neutral,Bauarbeiter können andere Arbeiten als Reparaturen verrichten.,german
1106,Drei Erwachsene arbeiten in einem Garten in der Nähe eines Zauns im Hof.,Die Basketballspieler spielen Ball.,contradiction,Entweder arbeiten sie in einem Garten oder spielen Ball.,german
1107,Ein Obama Biden-Unterstützer jubelt für den Präsidentschaftskandidaten und seinen amtierenden Partner.,"Ein Obama-Anhänger ist aufgebracht, dass der Präsident seine zweite Amtszeit verloren hat.",contradiction,"Einer ist entweder ein Obama-Befürworter oder einer ist ein Obama Biden-Befürworter, aber nicht beides zur gleichen Zeit, und man jubelt entweder oder man ist verärgert, aber nicht beides gleichzeitig.",german
1108,Ein Kind spielt ein Spiel namens Derby.,Das Kind spielt.,entailment,"Es geht beide um ein Kind, das spielt.",german
1109,Der Mann spielt ein Spiel mit einem jungen Mädchen.,Der Mann und das junge Mädchen reden mit dem Mond.,contradiction,"Ein Mann und Mädchen, die ein Spiel spielen, kann nicht mit dem Mond sprechen.",german
1110,"Ein Team von Männern, drei in roten Hemden und zwei andere in Baseballtrikots, taucht einen Baseballdiamanten mit spezialisierten Werkzeugen wieder auf.",Ein Baseballspieler rutscht auf den Teller.,contradiction,"Es ist entweder ein Team von Männern oder eine Person, es kann nicht beides sein",german
1111,Ein Hund und eine Kuh spielen zusammen im Zaun.,Ein Hund und eine Kuh sind draußen.,entailment,"Ein Hund und eine Kuh sind im Zaun, und der Zaun ist draußen.",german
1112,Eine Person in einem roten Hemd und schwarzen Hosen umschlang.,Die Person ist eine Frau.,neutral,"Die Person kann keine Frau sein, es könnte ein Mann sein.",german
1113,"Eine sprechende Frau auf einem Podium hat den Satz 'Armenischer Völkermord' darauf geschrieben, flankiert von Priestern und Männern in Anzügen.","Die Frau hat Geräusche, die von ihrem Mund ausgehen.",entailment,"Die Frau hat ""Klänge emantieren"" aus ihrem Mund wird als ""sprechende Frau auf einem Podium"" ausgearbeitet..",german
1114,Sechs Hunde schwimmen in einem Fluss.,Die Welpen setzen auf die Couch.,contradiction,Hunde können nicht gleichzeitig schwimmen und einstellen.,german
1115,Bauarbeiter schaut über die Baustelle.,Bauarbeiter bei der Arbeit.............................................................................................................................,entailment,Der Blick auf die Baustelle bedeutet bei der Arbeit.,german
1116,Mann am Telefon im Business-Anzug auf einer belebten Straße zu Fuß.,"Ein Mann spricht mit seiner Frau am Telefon, während er die Straße entlang geht.",neutral,"Der Mann könnte mit einem Geschäftspartner oder einer beliebigen Anzahl von Menschen sprechen, nicht nur mit seiner Frau. Ein Mann zu sein, deutet nicht auf Ehe oder Orientierung hin.",german
1117,Zwei Leute stellen ein Foto-Shooting eines Handys in einem weißen Raum auf.,Das Zimmer hat eine Kamera drin.,entailment,Die beiden Personen richten den weißen Raum mit einer Kamera für ein Fotoshooting eines Handys ein.,german
1118,Ein Hund springt über einen Haufen Holz.,"Ein Hund springt über einen Haufen Holz, um ein Kaninchen zu jagen.",neutral,"Nur weil ein Hund über einen Haufen Holz springt, bedeutet das nicht, dass er einem Kaninchen nachjagt.",german
1119,Ein Polizist auf einem Motorrad von hinten.,Ein Offizier fährt eine Straße runter.,neutral,Motorräder sind nicht immer auf der Straße.,german
1120,Ein Mann steht mit seinen Armen in einem großen grünen Gerät.,"Er versucht, es wieder zum Laufen zu bringen.",neutral,"Nur weil ein Mann seine Arme in der Ausrüstung hat, bedeutet das nicht, dass er versucht, es wieder in Gang zu bringen.",german
1121,"Eine Person, die in einer Jacke und langen Hose gekleidet ist, geht in einer kleinen Stadt eine schneebedeckte Straße hinunter.",Die Hose ist lang.,entailment,Die beiden sehnen sich nach langen Pants.,german
1122,"Eine Frau in einer blauen Jacke, die ein Kind auf einem Schlitten durch den Schnee zieht.",Eine Mutter und ihr Kind spielen im Schnee.,neutral,"Eine Frau, die ein Kind auf einem Schlitten durch den Schnee zieht, schleppt vielleicht nicht ihr eigenes Kind, und vielleicht spielen sie nicht.",german
1123,"Mann in dunklem Hemd, gelbe Shorts und gelbe Bandanna springt, um eine weiße Frisbee auf einem Fußballplatz zu fangen.",ein Mann ist preaparing ein Spiel zu spielen,neutral,"Nur weil ein Mann auf einem Fußballplatz spielt, bedeutet das nicht, dass er sich darauf vorbereitet, ein Spiel zu spielen.",german
1124,"Eine einzelne Person steht auf einem stark erodierten Felsen an der Klippe, während sie einen nackten Ast hoch hält.",Eine einzelne Person steht auf einem stark erodierten Klippen-Side-Raumschiff,contradiction,Die Person kann keinen Ast auf einem Raumschiff halten.,german
1125,"Ein lachender Mann sitzt mit ausgestreckten Armen auf einem Lagerstuhl, während ein Mann in einem schwarzen Hemd neben ihm sein Gesicht stopft.","der Mann wettete den anderen Mann, 40 Plätzchen zu essen",neutral,"Nichts wird über eine Wette gesagt, um 40 Kekse zu essen.",german
1126,Eine Frau in einem braunen Hemd kniet auf der Straße.,Eine Frau fährt Fahrrad.,contradiction,"Frauen fahren Fahrrad, damit sie nicht auf der Straße knien kann",german
1127,"Ein paar Frauen reden miteinander, während einer ihre Zigarette streichelt.",Der andere raucht auch gern.,neutral,"Sie können nicht schlussfolgern, dass sie gerne rauchen.",german
1128,"Eine Nachrichtencrew in Regenjacken, die vor einem Polizeiband vor einer Residenz stehen.","Der Lieferwagen einer Nachrichtencrew ist kaputt, also entscheiden sie sich, zu Hause zu bleiben.",contradiction,"Die Nachrichtencrew kann nicht zu Hause sein, während sie vor dem Polizeiband steht.",german
1129,"Ein Mann, der Gegenstände auf einen Wagen zieht.","Ein Mann nimmt Sachen mit, die er im Laden gekauft hat.",neutral,"Nur weil ein Mann Artikel auf einem Wagen zieht, heißt das nicht, dass er im Laden zu Hause gekauft hat.",german
1130,Ein junger Mann steht vor einem Waschsalon.,"Ein Mann wartet darauf, dass seine Kleider im Waschsalon fertig sind.",neutral,"Wir wissen nicht, ob er auf seine Kleidung wartet, auf einen Freund wartet, darauf wartet, abgeholt zu werden, oder überhaupt nicht wartet",german
1131,"Eine Menge wandert nachts über einen Platz mit Rauch oder Nebel, der über sie driftet.",Eine Gruppe von Menschen geht auf dem Platz.,entailment,Eine Gruppe ist eine Menge.,german
1132,"Eine Gruppe von Männern spielt Musik, der Mann, der eine Gitarre hält, spricht mit einem Mann mit Trommeln.",Ein Streichquartett praktiziert.,contradiction,"Sie können nicht üben, während sie reden.",german
1133,"Ein Mann beobachtet, wie eine Frau ein Stück Papier liest.",Eine Person beobachtet jemanden.,entailment,"Ein Mann ist ein Mensch, der jemanden beobachtet, der eine Frau ist",german
1134,Zwei Lacrosse-Spieler laufen auf dem Sportfeld.,"Niemand, der gezeigt wird, hat jemals einen Sport gespielt.",contradiction,"Er bezieht sich auf Lacrosse-Spieler nicht Menschen, die noch nie einen Sport gespielt haben.",german
1135,Ein Mann rollt einen Koffer vor einem Haufen roter Blumen.,Ein Mann steht vor Blumen.,entailment,Die Blüten sind rot.,german
1136,"Ein Junge am Strand läuft durch die Brandung zu drei anderen Menschen, die bereits im Wasser sind.","Ein Junge kann nicht schwimmen, also ist er nicht mit seiner Familie an den Strand gegangen.",contradiction,"Wenn der Junge nicht zum Strand gegangen ist, kann er nicht am Strand sein.",german
1137,"Ein Mann, der Shorts und ein blaues T-Shirt trägt, trägt Schilder auf das Schaufenster einer Eisdiele.","Ein Mann setzt ein Zeichen ins Fenster, um die Kunden auf einen bevorstehenden Eisverkauf aufmerksam zu machen.",neutral,"Beschilderung auf das Display anwenden bedeutet nicht immer, Kunden auf einen bevorstehenden Eisverkauf aufmerksam zu machen.",german
1138,"Eine Gruppe von Leuten in einer Gasse, die auf die Kamera schaut.",Die Leute sind auf ihrem Computer,contradiction,"Die Leute schauen auf die Kamera oder ihren Computer, die verschiedene Gegenstände sind.",german
1139,Eine Frau in einem rosa Oberteil hält eine Glasflasche in einer Hand und eine Stichpuppe in der anderen.,Die Glasflasche ist groß,neutral,Eine Glasflasche wird nicht als groß angenommen.,german
1140,Während der Ferienzeit leuchtete eine kleine malerische Stadt auf.,Die Stadt hat Schnee auf dem Boden.,neutral,"Nur weil es die Ferienzeit ist, bedeutet das nicht, dass es Schnee auf dem Boden gibt.",german
1141,Ein Mann und eine Frau stehen vor einem Weihnachtsbaum und betrachten einen einzigen Gedanken.,"Zwei Leute fragen sich, wie mitten im Juli ein Weihnachtsbaum in ihr Haus gekommen ist.",neutral,cpntempling impliziert kein Wunder,german
1142,Zwei kleine weiße Hunde laufen.,Zwei Hunde bewegen sich.,entailment,"Du musst dich bewegen, um wegzulaufen.",german
1143,Der Wind treibt ein Segelschiff auf eine Gruppe von Kreuzern.,Das Segelschiff ist allein auf dem Wasser.,contradiction,Ein Segelschiff wird entweder allein oder in einer Gruppe von Kreuzern sein. Es kann nicht beides gleichzeitig sein.,german
1144,Band spielt in engen Vierteln.,Die Gruppe der Menschen geht auf dem Bürgersteig in der Stadt.,contradiction,Du kannst nicht in engen Quartieren laufen.,german
1145,"Ein älterer Mann, der mit einem Jungen an einem Tisch voller Produkte spricht.",der Junge hörte Musik,contradiction,Es kann nicht gleichzeitig ein alter Mann und ein Junge sein.,german
1146,"Im Hintergrund befindet sich ein Gebäude im viktorianischen Stil und im Vordergrund ein See, in dem ein kleines Paddelboot mit drei Personen sitzt.",Drei Leute sitzen in einem Paddelboot.,entailment,"""Drei Leute sitzen in einem Paddelboot"" ist eine Neuauflage von ""Ein kleines Paddelboot sitzt mit drei Personen darin""",german
1147,"Ein Mann, der nur in einem Handtuch gekleidet ist, ist in einer Sauna.","Ein alter Mann, der nur in einem gelben Handtuch gekleidet ist, schwitzt in einer Sauna.",neutral,"Nicht jeder Mann ist ein alter Mann. Nicht alle Handtücher sind gelb. In einer Sauna zu sein bedeutet nicht unbedingt, dass er in einer Sauna schwitzt.",german
1148,"Männlich in einer blauen Jacke beschließt, im Gras zu liegen.",Der Kerl in Gelb rollt auf dem Gras,contradiction,"Ein Mann, der blau trägt, trägt nicht gelb, während er im Gras rollt, ist Bewegung und liegt nicht im Gras.",german
1149,"Drei Arbeiter, mit Rettungswesten und harten Hüten, auf einem Boot, das von Kabeln über Wasser hängt.",Drei Leute sind auf einem Boot.,entailment,Arbeitnehmer sind Menschen..............................................................................................................................,german
1150,Ein junger Junge mit rotem Hemd und Jeans steht in der Mitte eines Feldes und wirft ein Spielzeugflugzeug in die Luft.,"Ein kleiner Junge spielt auf dem Feld, weil seine Mutter ihn aus dem Haus geworfen hat.",neutral,"Auf einem Feld zu spielen bedeutet nicht, dass seine Mutter ihn aus dem Haus geworfen hat.",german
1151,Eine Dame fördert den anderen beiden Mädchen etwas.,Eine Frau beschäftigt einige Mädchen.,entailment,"Lady ist eine Frau, und zwei Mädchen sind ein paar Mädchen.",german
1152,Ein Arbeiter schaut von oben auf ein im Bau befindliches Gebäude.,Eine Person ist oben auf einem Gebäude.,entailment,"Eine Person, auf die Bezug genommen wird, ist Arbeiter, der aufgrund des Ausschauens von oben ein Gebäude Mittel ist oben auf dem Gebäude.",german
1153,"Ein junges Mädchen, das ein Kleinkind hält.",Zwei Kinder zusammen.,entailment,Ein junges Mädchen und ein Kleinkind sind beide Kinder.,german
1154,"Kind in blauen Polos sitzen um einen Tisch herum und schreiben auf ihren Notizbüchern, eines steht auf.","Kinder schreiben in Notizbüchern, während man neben ihnen steht.",entailment,"Das Kind in blauen Polos deutet auf Kinder hin, und in beiden Fällen haben sie auf ihren Notizbüchern gegeistet, während man steht.",german
1155,Instruktor auf Korbweben auf der Messe,Ein Korbweber sitzt zu Hause.,contradiction,Man kann nicht auf einer Messe und zu Hause sein.,german
1156,Ein Männchen mit einem prothetischen Beintauchen für einen Volleyball.,Das Männchen spielt Fußball.,contradiction,"Volleyball zu spielen ist nicht dasselbe wie Fußball zu spielen. Volleyball wird im Sand gespielt, und Fußball wird auf einem Feld gespielt.",german
1157,Zwei Leute spielen Hufeisen.,Tom und Sue spielten draußen.,neutral,"Man kann nicht annehmen, dass ihre Namen Tom und Sue sind, und man kann auch Hufeisen drinnen spielen, muss nicht draußen sein.",german
1158,Biker fahren durch den Wald.,Mountainbiker im Off-Road-Rennen.,neutral,"Nur weil der Biker durch den Wald fährt, bedeutet das nicht, dass er mit dem Mountainbike unterwegs ist oder dass er in einem Offroad-Rennen antritt.",german
1159,"Zwei Frauen sprechen miteinander, eine sitzt und blickt weg, während die andere in einem weißen Büro steht.",Die Frauen sind Feinde.,neutral,Nicht alle Frauen sind Feinde.,german
1160,"Ein Mann, der eine Frau schlägt, singt in ein Mikrofon, während ein blaues Licht auf ihn leuchtet.",Ein nackter Mann trinkt im Dunkeln einen Soda.,contradiction,"Der Mann kann nicht nackt sein, wenn er einen Frauenschläger trägt.",german
1161,"Ein Junge, der ein 'oh!' Gesicht vor einer Bucht macht.",Ein Junge schwimmt in der Bucht.,contradiction,"Ein Junge kann nicht vor einer Bucht sein, wenn er darin schwimmt.",german
1162,"Eine Frau, die sich über etwas freut.",Eine glückliche Frau.,entailment,"Eine Frau, die sich über etwas freut, ist glücklich.",german
1163,Eine Frau in einem schwarzen Lederhemd Trench-Coat und schwarzen Leder-Kälber-hohe Stiefel und tragen eine bunte Tasche mit einem Schultergurt Gesichter weg von der Kamera mit einem gelben Pfosten direkt vor ihr sichtbar.,"Eine Dame im schwarzen Leder-Grabenmantel, mit passenden schwarzen Lederstiefeln geht von der Kamera in ihrer Front mit ihrer Tasche an den Schultern geschnallt weg",entailment,Die Frau ist die Dame.,german
1164,Ein Mann mittleren Alters in einer grünen Jacke spricht mit einem anderen Mann mittleren Alters in einem hellblauen T-Shirt.,"Älterer Mann mit grüner Jacke, der mit einem anderen Mann spricht.",entailment,"Der Mann mittleren Alters ist ein älterer Mann, und das Reden ist ein Gespräch.",german
1165,Frauen sitzen an einem Tisch in einem Restaurant und plaudern.,Frauen sind zu Besuch.,neutral,"Nur weil die Frauen an einem Tisch sitzen und plaudern, bedeutet das nicht, dass sie zu Besuch sind.",german
1166,Ein Hund beißt einem Mann hinten,Ein Tier hat seinen Besitzer gebissen.,neutral,Der Hund hätte einen Eindringling an Stelle seines Besitzers beißen können.,german
1167,"Eine Gruppe junger Bandmitglieder, die schwarz tragen, treten auf Instrumenten auf, darunter das Saxophon und die Posaune.","Eine Gruppe von Musikern, die spielen",entailment,Eine Gruppe von Bandmitgliedern spielt Instrumente.,german
1168,Zwei Mädchen in Badeanzügen sind im Wasser.,Mädchen im Badeanzug zieht die Jungs durch Glamour,neutral,"Man kann nicht schlussfolgern, dass sie die Jungs anziehen.",german
1169,"Ein afrikanischer Mann wird von zwei Kühen durch nassen Schlamm gezerrt, während andere Leute zusehen.",Ein Mann versucht wegzulaufen.,neutral,"Nicht klar, dass der Mann versuchte wegzulaufen und die Kühe verhindern, dass",german
1170,Ein Junge in einem grünen Hemd auf einem Skateboard an einer Steinwand mit Graffiti,"Ein langhaariger Junge, der sein Skateboard schnell über eine Steinmauer mit Graffiti reitet.",neutral,Nicht alle Jungen sind langhaarig. Ein Skateboard bewegt sich nicht immer schnell.,german
1171,Ein eiliger Fahrradfahrer bewegt sich entlang eines Autos in einer belebten Straße auf einem erlaubten Radweg.,Der Radfahrer fährt schneller als die Autos.,neutral,"Ein Radfahrer kann neben einem Auto reisen, ohne schneller zu reisen als die Autos.",german
1172,Drei Welpen werden in der Wanne von einer Person mit Wasser besprüht.,Drei Welpen kuscheln mit ihrer Mutter am Feuer.,contradiction,"Welpen können nicht in einer Wanne sein, die von einer Person mit Wasser besprüht wird und gleichzeitig mit ihrer Mutter durch das Feuer kuschelt.",german
1173,Mehrere Menschen warten in einer U-Bahn-Station.,Die Leute sind drinnen.,entailment,"Warten in einer U-Bahn-Station bedeutet, im Innenbereich.",german
1174,"Eine weibliche Akrobat mit langen, blonden Lockenhaaren, die auf dem Kopf baumelt und sich von langen, roten Bändern aus Stoff aufhält.",Ein Akrobat hängt auf dem Kopf.,entailment,Hinken auf den Kopf ist die gleiche Aktion wie hängen auf den Kopf nach unten,german
1175,"Drei Leute reiten auf einer Kutsche, die von vier Pferden gezogen wird.",Die Pferde sind schroff.,neutral,"Man kann nicht folgern, dass die Pferde schroff sind.",german
1176,"Eine Frau mit kurzen blonden Haaren erhebt sich aus einem Stuhl, wie eine andere Frau in einem burgundischen Hemd lacht.",Eine Frau erhebt sich aus einem Stuhl,entailment,"Die Frauen mit kurzen blonden Haaren sind immer noch Frauen, die sich aus einem Stuhl erheben.",german
1177,Eine Frau und ein junges Mädchen essen Seite an Seite.,Zwei Leute essen zusammen.,entailment,Eine Frau und ein junges Mädchen essen die Nüsse Seite an Seite beim Gehen.,german
1178,Der junge Mann sitzt auf einer Couch und raucht eine Zigarette.,"Ein junger Mann, der eine Zigarre raucht",neutral,Eine Zigarette zu rauchen bedeutet nicht immer Zigarre.,german
1179,"Mehrere Männer in schwarzen T-Shirts und Kappen verwenden Metallstangen, um Lebensmittel zu zerschlagen, die auf einem runden Tisch mit einem Loch in der Mitte liegen.",Männer mögen ihr Mittagessen nicht,neutral,Die Männer mögen ihr Mittagessen nicht unbedingt.,german
1180,Mann im traditionellen Kostüm mit kleiner Gitarre mit einem silbernen Fahrrad hinter ihm.,"Ein Mann ist dabei, ein Lied zu singen.",neutral,"Nur weil ein Mann eine kleine Gitarre hält, die nicht bedeutet, dass er dabei ist, ein Lied aufzuführen.",german
1181,"Eine Dame, die einen Strohhut und goldene Ohrringe trägt, zeigt einen Finger.",Eine Dame weist darauf hin.,entailment,"Wenn eine Dame zeigt, ist sie ein Finger, um etwas zu zeigen.",german
1182,"Ein Mann in dunkler Kleidung, der in einer Transitstation läuft.","Ein Mann, der durch eine Transitstation geht.",entailment,"Der Mensch, der geht, ist in dunkler Kleidung.",german
1183,"Eine große Anzahl von Menschen, die nur weiß und rot tragen, laufen auf einer Straße.","Eine große Anzahl von Männern, die die Straße in Rot und Weiß entlanggehen.",neutral,"Sie können nicht folgern, dass es Männer sind.",german
1184,"Eine Frau sitzt auf einem Stuhl, während ein Mann durch den Sport Nutzfahrzeug geht.",ein Mädchen sitzt und wartet auf Urlaub,neutral,"Es gibt keinen Hinweis darauf, dass die Frau auf Urlaub wartet, nur weil sie auf einem Stuhl sitzt.",german
1185,Ein Junge pfeift einen Ball mit einer Fledermaus.,Der Junge spielt Baseball.,neutral,Du kannst einen Ball pfeifen und es ist kein Baseball.,german
1186,"Zwei Männer interagieren mit einer Art mechanischer Vorrichtung, die an einer Wand angebracht ist.",Zwei Männer kommen zu spät zur Arbeit.,neutral,"Man kann nicht folgern, dass die Männer zu spät zur Arbeit kommen.",german
1187,"Ein Mann mit einem Afro und Bandanna, der E-Gitarre spielt.",Der Typ mit dem Afro isst Spinat,contradiction,Der Mann kann nicht sehr gut spielen E-Gitarre und essen Spinat zur gleichen Zeit.,german
1188,"Ein Junge, der auf dem Fußballfeld posiert.",Der Junge ist auf dem Feld.,entailment,"Damit der Junge auf dem Feld posiert, muss er auf dem Feld sein.",german
1189,"ein großer schwarzer Hund springt in die Luft, um den Tennisball in seinem Mund zu fangen.",Ein Hund ist draußen.,neutral,"Wir haben keine Ahnung, ob der Hund draußen ist, man kann auch drinnen spielen.",german
1190,Ein Olympier springt über ein Hindernis.,Ein Sprinter hürdet die Barriere.,neutral,nicht jeder Olympier ist Sprinter,german
1191,Die Kunden bestellen Essen in einem Café.,Es gibt keine Kunden im Café.,contradiction,Es kann nicht gleichzeitig Kunden und keine Kunden geben,german
1192,Zwei Mädchen in roten Schwimmwesten verschließen Ruder auf einem Fluss.,Zwei Mädchen in einem Lager.,neutral,"Die Tatsache, dass sie auf einem Fluss sind, bedeutet nicht, dass sie sich in einem Lager befinden.",german
1193,Zwei Mädchen küssen einen Mann mit einem schwarzen Hemd und braunen Haaren auf den Wangen.,Zwei Mädchen küssen sich da Dad.,neutral,"Nur weil die beiden Mädchen einen Mann küssen, heißt das nicht, dass er ihr Vater ist.",german
1194,Eine Menge Leute im Stadion Stil Sitze scheinen uninteressant an der Veranstaltungsort.,"Eine Gruppe von Leuten ist unglücklich, im Stadion zu sein.",neutral,Desinteressiert bedeutet nicht unglücklich.,german
1195,"Eine junge Frau steht kurz davor, die Treppe in eine U-Bahnstation zu steigen.",Eine Dame nimmt einen Bus,contradiction,Die Dame kann nicht gleichzeitig mit dem Bus in eine U-Bahn-Station fahren.,german
1196,"Ein Mann mit gefalteten Armen vor seiner Brust sitzt neben mindestens einer anderen Person, lachend.","zwei Personen, die ein Rennen führen",contradiction,Ein Mann kann nicht zwei Menschen sein.,german
1197,Ein Markt im Mittleren Osten.,Ein Geschäft in der Mitte des Ostens.,entailment,Store ist ein weiterer Begriff für Marktplatz.,german
